ID,LAT,LONG,T_SEASON,TDIFF,T_SUMMER,T_WINTER,PRE_YEAR,PRE_SUMMER,PRE_WINTER,ELEV,SLOPE,ASPECT,TMIN_JUL,TMIN_JAN,PERC_SEA,SHRUB,SAVANNA,GRASS,LAKE,CROP,URBAN,MOSAIC,BARE,FOREST
7516,-758250,-1641404,240.5,18.38,29.69,23.67,1083.97,225.1,15,1.55,0.08,353.88,17.19,24.8,29.2,0.03,0.58,0.1,0,0,0,0,0,0
7016,-708250,-1641404,241.5,18.66,30.09,23.93,1057.72,231.09,12.96,56.95,0.07,360,17.31,24.93,73.82,0.01,0.18,0.08,0,0,0,0,0,0
4516,-458250,-1641404,250.6,21.2,30.61,24.1,1114.25,302.85,4,15.46,0.02,288.8,16.01,24.9,17.12,0,0.63,0,0.2,0,0,0,0,0
4016,-408250,-1641404,262.41,22.1,29.26,22.52,1200.44,337.02,6.38,14.59,0.06,308.4,14.16,24.4,0,0,1,0,0,0,0,0,0,0
3516,-358250,-1641404,266.54,22.9,29.64,22.78,1172.22,331.44,6.63,76.3,0.11,328.22,14.04,24.2,0,0,1,0,0,0,0,0,0,0
3016,-308250,-1641404,276.42,23.59,30.02,22.91,1127.82,324.03,5.99,76.38,0.1,351.89,13.82,24.05,0,0,1,0,0,0,0,0,0,0
2516,-258250,-1641404,287.23,24.22,30.62,23.21,1076.19,312.4,4.85,96.67,0.05,6.14,14,23.87,0,0,1,0,0,0,0,0,0,0
2016,-208250,-1641404,300.29,24.73,30.47,22.77,1071.47,308.73,3,104.11,0.05,264.78,13.43,23.63,0,0,1,0,0,0,0,0,0,0
1516,-158250,-1641404,303.25,24.65,29.9,22.06,1063.29,316.08,7.51,223.24,0.05,251.19,12.96,22.83,0,0,1,0,0,0,0,0,0,0
1016,-108250,-1641404,299.93,24.26,30,22.24,1018.77,284.26,8.57,207.94,0.08,230.99,13.34,23.38,0,0,1,0,0,0,0,0,0,0
5816,-58250,-1641404,301.49,23.96,30.33,22.53,972.31,248.66,7.98,338.48,0.11,163.21,13.86,23.08,0,0,1,0,0,0,0,0,0,0
8216,-8250,-1641404,304.08,23.57,30.45,22.69,946.14,422.31,5.37,131.99,0.13,140.16,14.29,23.66,0,0,1,0,0,0,0,0,0,0
4116,41750,-1641404,304.33,23.23,30.62,22.76,923.28,416.28,4,209.11,0.07,152.68,14.6,24.15,0,0,1,0,0,0,0,0,0,0
9116,91750,-1641404,298.26,22.1,30.44,22.78,946.23,414.55,4.49,91.84,0.07,124.88,15.14,24.21,0,0,1,0,0,0,0,0,0,0
1416,141750,-1641404,285.6,20.85,30.55,23.1,997.88,415.57,5,59.12,0.05,151.16,16,24.73,0,0,1,0,0,0,0,0,0,0
2916,291750,-1641404,251.75,16.81,29.81,23.3,1242.72,449,10,22.38,0,135,17.9,25.27,41.58,0,0.57,0.01,0,0,0,0,0,0
8416,841750,-1641404,194.77,18,28.8,23.77,1419.46,615.92,5,9.61,0.03,270.65,17,24.2,16.3,0,0.84,0,0,0,0,0,0,0
8916,891750,-1641404,195.44,18.06,28.46,23.44,1359.58,593.74,6,46.74,0.06,272.6,16.7,23.86,0,0,1,0,0,0,0,0,0,0
9416,941750,-1641404,197.89,17.93,28.12,22.98,1270.36,555.6,7,157.2,0.05,285.88,16.43,23.53,0,0,1,0,0,0,0,0,0,0
9916,991750,-1641404,199.98,17.38,27.38,22.28,1200.18,523.67,13.94,134.76,0.17,280.52,16.09,23.37,0,0,0.94,0,0,0,0,0,0,0.06
1016,1041750,-1641404,192.88,16.52,28.4,23.49,1413.16,622.04,12.41,595.86,0.08,62.87,17.49,21.29,45.7,0,0.22,0,0,0,0,0,0,0.33
8016,-808250,-1691404,251.23,18.95,29.14,22.81,1220.11,280.83,17,225.53,0.15,4.26,16.24,24.24,2.8,0,0.97,0,0,0,0,0,0,0
